inventory_id,material_id,stock_qty,reorder_level,daily_usage,warehouse_location,states
1,1,279.84,45.35,4.55,Indore,Madhya Pradesh
2,2,261.38,49.71,5.4,Delhi,Delhi
3,3,97.08,75.53,2.79,Indore,Madhya Pradesh
4,4,238.02,36.22,8.34,New Delhi,Delhi
5,5,157.54,66.75,7.16,Indore,Madhya Pradesh
6,6,75.85,61.46,3.71,Nagpur,Maharashtra
7,7,282.84,58.51,4.32,Guwahati,Assam
8,8,235.71,67.39,7.06,Lucknow,Uttar Pradesh
9,9,286.62,52.6,8.78,Siliguri,West Bengal
10,10,209.74,52.13,6.61,Mumbai,Maharashtra
11,11,163.22,42.54,2.89,Jaipur,Rajasthan
12,12,295.98,36.46,7.56,Patna,Bihar
13,13,208.5,78.01,7.11,New Delhi,Delhi
14,14,126.61,49.9,3.9,Mysuru,Karnataka
15,15,142.78,59.26,7.22,Guwahati,Assam
16,16,112.15,65.54,5.82,Kolkata,West Bengal
17,17,216.21,50.12,4.88,Kanpur,Uttar Pradesh
18,18,259.17,24.59,8.47,Coimbatore,Tamil Nadu
19,19,249.25,39.19,4.03,Jaipur,Rajasthan
20,20,248.79,32.86,2.15,Mumbai,Maharashtra
21,21,179.58,57.28,6.46,Dehradun,Uttarakhand
22,22,117.17,21.07,6.96,Nashik,Maharashtra
23,23,191.16,39.65,8.3,Kochi,Kerala
24,24,58.13,41.01,9.37,Hyderabad,Telangana
25,25,175.55,51.84,5.58,Surat,Gujarat
26,26,147.64,50.32,5.17,Kanpur,Uttar Pradesh
27,27,235.25,56.38,7.08,Jaipur,Rajasthan
28,28,122.01,45.56,7.08,Shimla,Himachal Pradesh
29,29,199.21,71.71,2.28,Chandigarh,Chandigarh
30,30,94.38,49.28,7.17,Delhi,Delhi
31,31,177.63,51.96,7.89,Mysuru,Karnataka
32,32,148.44,67.94,2.71,Kochi,Kerala
33,33,87.52,60.06,2.94,Udaipur,Rajasthan
34,34,200.67,72.69,3.19,Mysuru,Karnataka
35,35,102.42,77.33,3.48,Nashik,Maharashtra
36,36,171.51,28.22,2.02,Pune,Maharashtra
37,37,179.78,40.64,8.05,Chandigarh,Chandigarh
38,38,80.82,30.49,5.68,Kolkata,West Bengal
39,39,289.49,35.67,3.52,Shimla,Himachal Pradesh
