material_id,material_name,category
1,Gypsum Powder,Textile
2,Synthetic Rubber Sheet,Construction
3,Stainless Steel Bolt,Plastic
4,Printed Circuit Board,Packaging
5,MDF Board,Textile
6,Leather Sheet,Metal
7,Lithium Battery Cell,Chemical
8,Cement Bag,Metal
9,Tempered Glass Panel,Textile
10,Coolant Liquid,Chemical
11,Stainless Steel Bolt,Electronics
12,Timber Plank,Construction
13,MDF Board,Plastic
14,Thermal Insulation Wool,Plastic
15,HDPE Granules,Chemical
16,Textile Cotton Fiber,Plastic
17,ABS Plastic Pellets,Metal
18,Latex Compound,Metal
19,Industrial Adhesive,Packaging
20,Wooden Plywood Sheet,Plastic
21,Nylon Fiber,Packaging
22,Cement Bag,Metal
23,Industrial Adhesive,Textile
24,Hydraulic Oil,Electronics
25,Microcontroller Chip,Construction
26,Lithium Battery Cell,Plastic
27,Microcontroller Chip,Plastic
28,Electric Motor Coil,Metal
29,Powder Coating Material,Chemical
30,Sand Aggregate,Textile
31,Polyester Yarn,Packaging
32,ABS Plastic Pellets,Metal
33,Copper Wire,Plastic
34,Coolant Liquid,Metal
35,Epoxy Resin,Packaging
36,Lithium Battery Cell,Plastic
37,Brass Pipe,Construction
38,Electric Motor Coil,Chemical
39,Lubricating Oil,Construction
40,Polycarbonate Sheet,Metal
41,Powder Coating Material,Electronics
42,Ceramic Insulator,Construction
43,Rubber Gasket,Construction
44,Timber Plank,Plastic
45,Textile Cotton Fiber,Textile
46,Polyester Yarn,Electronics
47,Gravel Stone,Plastic
48,Tempered Glass Panel,Electronics
49,Leather Sheet,Electronics
50,Timber Plank,Textile
51,Tempered Glass Panel,Construction
52,HDPE Granules,Chemical
53,Industrial Adhesive,Textile
54,Coolant Liquid,Plastic
55,Hydraulic Oil,Metal
56,Thermal Insulation Wool,Textile
57,MDF Board,Textile
58,Silicone Sealant,Plastic
59,Powder Coating Material,Metal
60,Aluminum Sheet,Plastic
61,Electric Motor Coil,Chemical
62,Sand Aggregate,Metal
63,PVC Pipe,Chemical
64,Concrete Additive,Textile
65,Concrete Additive,Chemical
66,Timber Plank,Metal
67,Powder Coating Material,Packaging
68,Tempered Glass Panel,Chemical
69,Printed Circuit Board,Chemical
70,Rubber Gasket,Packaging
71,PVC Pipe,Textile
72,Timber Plank,Textile
73,Epoxy Resin,Electronics
74,Aluminum Sheet,Packaging
75,Sand Aggregate,Plastic
76,Stainless Steel Bolt,Electronics
77,Denim Fabric,Plastic
78,Denim Fabric,Chemical
79,Industrial Adhesive,Metal
80,Sand Aggregate,Chemical
81,Steel Rod,Textile
82,Rubber Gasket,Electronics
83,Brass Pipe,Textile
84,Paint Pigment,Chemical
85,Stainless Steel Bolt,Plastic
86,Hydraulic Oil,Chemical
87,LED Module,Packaging
88,Gravel Stone,Metal
89,Denim Fabric,Textile
90,HDPE Granules,Electronics
91,Glass Fiber,Metal
92,Industrial Adhesive,Chemical
93,Iron Ore,Plastic
94,ABS Plastic Pellets,Chemical
95,Brass Pipe,Electronics
96,Plastic Packaging Film,Metal
97,Steel Rod,Metal
98,Coolant Liquid,Electronics
99,Electric Motor Coil,Metal
100,Polycarbonate Sheet,Electronics
101,Iron Ore,Construction
102,Industrial Grease,Construction
103,Corrugated Box,Construction
104,Industrial Adhesive,Electronics
105,ABS Plastic Pellets,Metal
106,Sand Aggregate,Textile
107,Foam Padding,Metal
108,Plastic Packaging Film,Construction
109,Polycarbonate Sheet,Electronics
110,Cement Bag,Chemical
111,Gypsum Powder,Electronics
112,Electric Motor Coil,Packaging
113,Paint Pigment,Plastic
114,MDF Board,Chemical
115,Corrugated Box,Packaging
116,Lithium Battery Cell,Textile
117,Iron Ore,Packaging
118,Industrial Grease,Packaging
119,Plastic Packaging Film,Electronics
120,Tempered Glass Panel,Packaging
121,Denim Fabric,Electronics
122,Industrial Adhesive,Metal
123,Industrial Grease,Construction
124,Coolant Liquid,Electronics
125,Stainless Steel Bolt,Construction
126,Hydraulic Oil,Construction
127,Transformer Core,Construction
128,Gypsum Powder,Plastic
129,Timber Plank,Metal
130,Electric Motor Coil,Packaging
131,Industrial Grease,Plastic
132,Foam Padding,Metal
133,Lithium Battery Cell,Electronics
134,Aluminum Foil Roll,Packaging
135,Aluminum Foil Roll,Textile
136,Denim Fabric,Metal
137,Printed Circuit Board,Metal
138,Lubricating Oil,Construction
139,PVC Pipe,Textile
140,Acrylic Paint,Chemical
141,Sand Aggregate,Textile
142,LED Module,Packaging
143,Leather Sheet,Construction
144,Textile Cotton Fiber,Plastic
145,Gypsum Powder,Metal
146,Stainless Steel Bolt,Construction
147,Ceramic Insulator,Electronics
148,Glass Fiber,Plastic
149,Glass Fiber,Plastic
150,Gravel Stone,Plastic
151,Synthetic Rubber Sheet,Plastic
152,Printed Circuit Board,Metal
153,Coolant Liquid,Metal
154,Hydraulic Oil,Packaging
155,Powder Coating Material,Construction
156,Synthetic Rubber Sheet,Chemical
157,Industrial Adhesive,Metal
158,Lithium Battery Cell,Plastic
159,Timber Plank,Textile
160,Synthetic Rubber Sheet,Packaging
161,Denim Fabric,Metal
162,Silicone Sealant,Chemical
163,Electric Motor Coil,Construction
164,Lubricating Oil,Chemical
165,MDF Board,Packaging
166,Polycarbonate Sheet,Metal
167,Tempered Glass Panel,Plastic
168,PVC Pipe,Electronics
169,Nylon Fiber,Packaging
170,Paint Pigment,Plastic
171,Epoxy Resin,Electronics
172,Rubber Gasket,Metal
173,Sand Aggregate,Packaging
174,Steel Rod,Textile
175,Corrugated Box,Chemical
176,Wooden Plywood Sheet,Chemical
177,Silicone Sealant,Chemical
178,Lubricating Oil,Chemical
179,Corrugated Box,Textile
180,Industrial Adhesive,Chemical
181,Epoxy Resin,Metal
182,Hydraulic Oil,Plastic
183,Concrete Additive,Construction
184,Iron Ore,Chemical
185,Polycarbonate Sheet,Textile
186,Brass Pipe,Metal
187,Wooden Plywood Sheet,Textile
188,Brass Pipe,Packaging
189,Glass Fiber,Metal
190,Paint Pigment,Plastic
191,Powder Coating Material,Textile
192,Lithium Battery Cell,Electronics
193,Cement Bag,Plastic
194,Lithium Battery Cell,Metal
195,Industrial Adhesive,Construction
196,Aluminum Sheet,Electronics
197,Industrial Adhesive,Construction
198,Latex Compound,Packaging
199,Tempered Glass Panel,Plastic
200,Nylon Fiber,Plastic
201,Electric Motor Coil,Packaging
202,Industrial Grease,Construction
203,Polycarbonate Sheet,Packaging
204,Leather Sheet,Plastic
205,Concrete Additive,Electronics
206,Iron Ore,Plastic
207,HDPE Granules,Electronics
208,Iron Ore,Packaging
209,Microcontroller Chip,Plastic
210,Timber Plank,Plastic
211,Thermal Insulation Wool,Electronics
212,Electric Motor Coil,Packaging
213,Polycarbonate Sheet,Metal
214,Nylon Fiber,Chemical
215,Textile Cotton Fiber,Plastic
216,Sand Aggregate,Metal
217,Aluminum Foil Roll,Metal
218,Glass Fiber,Chemical
219,Concrete Additive,Construction
220,PVC Pipe,Construction
221,Electric Motor Coil,Chemical
222,Plastic Packaging Film,Textile
223,Industrial Grease,Electronics
224,PVC Pipe,Packaging
225,Acrylic Paint,Construction
226,Polycarbonate Sheet,Metal
227,Acrylic Paint,Chemical
228,Ceramic Insulator,Plastic
229,Timber Plank,Chemical
230,Sand Aggregate,Chemical
231,Sand Aggregate,Construction
232,Copper Wire,Plastic
233,Coolant Liquid,Construction
234,Polyester Yarn,Electronics
235,Transformer Core,Textile
236,Plastic Packaging Film,Electronics
237,Lithium Battery Cell,Packaging
238,Corrugated Box,Textile
239,Tempered Glass Panel,Metal
240,Latex Compound,Electronics
241,Rubber Gasket,Electronics
242,MDF Board,Plastic
243,Brass Pipe,Textile
244,Rubber Gasket,Chemical
245,Latex Compound,Metal
246,Aluminum Sheet,Plastic
247,Wooden Plywood Sheet,Chemical
248,Concrete Additive,Chemical
249,Glass Fiber,Electronics
250,Iron Ore,Construction
251,Cement Bag,Chemical
252,Ceramic Insulator,Construction
253,Stainless Steel Bolt,Electronics
254,Industrial Grease,Packaging
255,Aluminum Sheet,Construction
256,Printed Circuit Board,Chemical
257,Paint Pigment,Plastic
258,Lubricating Oil,Textile
259,Steel Rod,Metal
260,Iron Ore,Plastic
261,Steel Rod,Metal
262,Electric Motor Coil,Construction
263,Synthetic Rubber Sheet,Plastic
264,Electric Motor Coil,Plastic
265,Latex Compound,Metal
266,Lubricating Oil,Textile
267,Nylon Fiber,Metal
268,MDF Board,Construction
269,Brass Pipe,Construction
270,Wooden Plywood Sheet,Metal
271,MDF Board,Plastic
272,Leather Sheet,Textile
273,Industrial Adhesive,Plastic
274,LED Module,Construction
275,Epoxy Resin,Chemical
276,Tempered Glass Panel,Metal
277,Polyester Yarn,Construction
278,Nylon Fiber,Chemical
279,Rubber Gasket,Textile
280,Hydraulic Oil,Plastic
281,Printed Circuit Board,Metal
282,Tempered Glass Panel,Plastic
283,Cement Bag,Chemical
284,Gypsum Powder,Plastic
285,Silicone Sealant,Textile
286,Silicone Sealant,Construction
287,Acrylic Paint,Packaging
288,MDF Board,Chemical
289,ABS Plastic Pellets,Textile
290,LED Module,Packaging
291,MDF Board,Electronics
292,Cement Bag,Packaging
293,Aluminum Foil Roll,Textile
294,Brass Pipe,Plastic
295,Ceramic Insulator,Packaging
296,Timber Plank,Textile
297,Foam Padding,Packaging
298,Hydraulic Oil,Metal
299,Aluminum Sheet,Electronics
300,Nylon Fiber,Plastic
301,LED Module,Construction
302,Leather Sheet,Chemical
303,Cement Bag,Plastic
304,Industrial Grease,Textile
305,Packaging Cardboard,Electronics
306,Polyester Yarn,Packaging
307,Coolant Liquid,Metal
308,Polycarbonate Sheet,Textile
309,Stainless Steel Bolt,Metal
310,Electric Motor Coil,Chemical
311,Tempered Glass Panel,Plastic
312,Stainless Steel Bolt,Construction
313,Gypsum Powder,Chemical
314,Textile Cotton Fiber,Metal
315,Corrugated Box,Textile
316,LED Module,Electronics
317,Thermal Insulation Wool,Metal
318,Gravel Stone,Metal
319,Thermal Insulation Wool,Plastic
320,Synthetic Rubber Sheet,Metal
321,Hydraulic Oil,Textile
322,Corrugated Box,Metal
323,Steel Rod,Packaging
324,Plastic Packaging Film,Metal
325,Silicone Sealant,Metal
326,Foam Padding,Packaging
327,Leather Sheet,Textile
328,Concrete Additive,Plastic
329,MDF Board,Plastic
330,Copper Wire,Construction
331,Cement Bag,Construction
332,Polyester Yarn,Textile
333,Polyester Yarn,Packaging
334,Textile Cotton Fiber,Electronics
335,Thermal Insulation Wool,Electronics
336,Synthetic Rubber Sheet,Construction
337,PVC Pipe,Plastic
338,Denim Fabric,Metal
339,Epoxy Resin,Plastic
340,Gravel Stone,Packaging
341,Silicone Sealant,Construction
342,Hydraulic Oil,Metal
343,Aluminum Sheet,Metal
344,Cement Bag,Chemical
345,Silicone Sealant,Construction
346,Wooden Plywood Sheet,Electronics
347,Electric Motor Coil,Packaging
348,Timber Plank,Packaging
349,Industrial Adhesive,Packaging
350,Brass Pipe,Metal
351,Synthetic Rubber Sheet,Plastic
352,Silicone Sealant,Packaging
353,Textile Cotton Fiber,Metal
354,LED Module,Electronics
355,Polyester Yarn,Construction
356,Iron Ore,Chemical
357,Textile Cotton Fiber,Plastic
358,Stainless Steel Bolt,Packaging
359,Copper Wire,Electronics
360,Wooden Plywood Sheet,Chemical
361,Epoxy Resin,Textile
362,Gypsum Powder,Metal
363,Rubber Gasket,Construction
364,Hydraulic Oil,Metal
365,Nylon Fiber,Plastic
366,Transformer Core,Textile
367,Tempered Glass Panel,Chemical
368,Leather Sheet,Plastic
369,Synthetic Rubber Sheet,Plastic
370,Wooden Plywood Sheet,Construction
371,Ceramic Insulator,Construction
372,Lubricating Oil,Chemical
373,Iron Ore,Metal
374,Iron Ore,Packaging
375,Sand Aggregate,Plastic
376,Latex Compound,Electronics
377,Transformer Core,Textile
378,Wooden Plywood Sheet,Textile
379,Polycarbonate Sheet,Construction
380,Epoxy Resin,Plastic
381,Timber Plank,Metal
382,Aluminum Foil Roll,Electronics
383,Electric Motor Coil,Metal
384,Corrugated Box,Plastic
385,Concrete Additive,Electronics
386,Polycarbonate Sheet,Metal
387,Plastic Packaging Film,Construction
388,Denim Fabric,Plastic
389,Nylon Fiber,Construction
390,Lubricating Oil,Chemical
391,MDF Board,Electronics
392,Coolant Liquid,Metal
393,Silicone Sealant,Metal
394,Cement Bag,Chemical
395,Hydraulic Oil,Textile
396,Epoxy Resin,Textile
