price_id,material_id,price_per_ton,price_date
1,35,748.65,2024-03-22
2,4351,771.18,2023-10-20
3,1213,919.61,2024-02-08
4,1011,774.79,2024-05-18
5,1417,810.19,2024-04-13
6,1127,832.27,2024-11-22
7,1710,390.97,2024-07-22
8,4665,644.49,2024-03-20
9,390,535.22,2024-02-03
10,1165,360.4,2024-03-29
11,2308,908.66,2023-12-29
12,3896,393.98,2024-10-01
13,625,750.2,2024-11-27
14,3907,469.98,2024-12-16
15,1214,861.79,2023-03-17
16,2083,436.75,2023-04-04
17,814,517.06,2024-04-19
18,4574,814.03,2023-08-25
19,3578,748.13,2023-11-16
20,4895,429.12,2024-08-30
21,82,646.77,2023-07-16
22,4241,837.44,2024-07-31
23,2392,453.77,2023-04-28
24,1804,786.33,2023-05-27
25,2439,643.68,2024-03-02
26,2436,749.29,2024-08-05
27,1096,426.92,2023-05-11
28,2577,767.13,2023-04-10
29,3451,784.59,2023-10-25
30,407,826.2,2023-10-14
31,4105,893.42,2024-12-23
32,4681,566.03,2023-06-16
33,2160,420.32,2023-08-16
34,2301,822.02,2024-12-21
35,2980,607.35,2024-02-23
36,3233,480.92,2024-05-07
37,652,838.3,2023-02-13
38,738,433.68,2023-02-15
39,3160,474.41,2023-12-29
40,4048,564.01,2024-08-15
41,3910,721.76,2024-09-03
42,3831,539.27,2024-02-19
43,3774,563.59,2023-10-15
44,3103,745.95,2024-05-22
45,3090,588.06,2024-03-27
46,2094,928.53,2023-04-06
47,1801,531.63,2024-06-06
48,846,585.8,2024-08-21
49,2281,895.72,2023-08-06
50,1361,531.05,2023-05-26
51,1323,416.36,2024-12-19
52,2096,795.74,2023-07-24
53,1113,873.35,2023-10-18
54,2351,764.71,2023-05-17
55,983,533.7,2023-04-08
56,109,359.79,2024-08-08
57,4209,464.99,2024-09-27
58,352,851.98,2023-12-09
59,4115,410.15,2024-09-24
60,4593,465.14,2024-01-10
61,619,808.16,2024-02-14
62,4762,384.39,2024-09-01
63,702,672.16,2023-08-21
64,3943,597.64,2023-07-29
65,3747,695.99,2023-02-03
66,298,542.48,2024-07-05
67,1775,809.36,2023-04-04
68,140,675.75,2024-05-24
69,2933,371.53,2024-08-27
70,2719,385.35,2023-08-05
71,2650,513.43,2024-01-17
72,920,475.69,2024-03-16
73,2255,372.42,2024-12-16
74,4978,884.02,2023-06-29
75,1223,763.06,2023-02-14
76,4596,549.57,2023-11-26
77,22,915.83,2023-04-13
78,1188,825.25,2024-12-15
79,793,565.93,2024-08-10
80,2923,694.81,2024-01-13
81,4674,815.21,2023-10-02
82,575,714.55,2024-03-25
83,912,610.03,2023-12-13
84,2644,895.56,2023-08-10
85,3106,836.07,2023-05-01
86,4472,401.76,2024-10-23
87,3854,810.28,2023-07-29
88,1064,678.76,2024-11-17
89,2039,440.69,2023-12-30
90,1648,672.38,2024-02-11
91,581,875.85,2023-10-01
92,993,631.85,2023-06-09
93,579,742.6,2023-12-13
94,601,536.93,2024-07-12
95,989,874.82,2023-04-12
96,2411,888.51,2024-02-23
97,4531,649.19,2023-07-02
98,3108,419.3,2024-05-20
99,1922,636.93,2023-06-27
100,1001,574.93,2024-07-12
101,2109,560.06,2023-07-29
102,2970,545.46,2024-08-21
103,4906,588.36,2024-04-17
104,1833,402.8,2024-11-11
105,879,441.09,2023-07-27
106,611,932.15,2023-07-09
107,2543,468.72,2024-12-26
108,3123,577.74,2024-02-02
109,1050,846.9,2023-04-24
110,1650,903.25,2024-01-22
111,1461,396.96,2023-08-21
112,4854,515.59,2023-09-22
113,119,807.84,2023-01-03
114,630,853.75,2023-10-26
115,3434,786.7,2024-12-13
116,1075,355.61,2024-07-20
117,2255,707.58,2023-10-16
118,2112,910.4,2024-01-17
119,1802,721.45,2024-03-11
120,506,366.71,2023-10-31
121,4225,415.41,2023-07-26
122,1548,571.68,2023-08-05
123,2004,921.3,2024-09-28
124,2256,387.81,2024-03-29
125,2869,416.63,2023-01-31
126,27,619.02,2023-12-25
127,3167,570.51,2023-05-26
128,2754,925.16,2023-09-25
129,4184,792.77,2024-06-02
130,3489,685.15,2024-01-20
131,723,434.54,2024-11-27
132,2789,810.37,2024-05-13
133,4996,351.28,2023-12-13
134,38,637.58,2023-07-30
135,344,771.47,2024-09-02
136,507,638.74,2023-05-11
137,4634,500.08,2024-11-30
138,4333,538.26,2023-09-12
139,3169,605.65,2024-03-28
140,1588,408.69,2023-08-07
141,4931,794.24,2023-07-02
142,4253,587.92,2023-07-29
143,4464,696.41,2023-12-09
144,2522,643.63,2023-05-01
145,651,458.95,2023-10-22
146,1613,858.62,2024-01-03
147,4980,844.97,2023-07-15
148,1863,692.02,2023-06-15
149,3645,941.39,2024-06-08
150,1222,896.48,2024-06-29
151,4188,422.24,2023-12-26
152,3414,570.77,2024-10-01
153,3129,358.24,2023-02-25
154,1439,683.16,2024-04-20
155,2307,533.02,2024-04-20
156,153,580.76,2024-07-09
157,645,473.38,2023-12-12
158,4093,663.51,2023-06-12
159,4825,826.37,2023-10-02
160,2327,907.79,2023-08-26
161,2664,814.76,2024-02-20
162,4476,660.22,2023-08-09
163,4850,498.67,2023-08-17
164,3190,365.91,2024-12-17
165,1188,873.3,2023-07-21
166,4447,772.08,2023-08-24
167,899,709.74,2024-08-22
168,2423,632.15,2024-12-16
169,4115,762.47,2024-04-27
170,2283,562.93,2023-09-20
171,2949,601.78,2024-11-27
172,122,865.97,2024-11-10
173,998,739.42,2024-07-09
174,3371,652.63,2024-01-30
175,2954,699.5,2024-05-01
176,4895,845.77,2023-11-15
177,4229,418.38,2024-10-08
178,1447,713.67,2024-02-27
179,2416,543.29,2023-10-19
180,4258,850.53,2023-05-14
181,3774,647.28,2024-08-02
182,2848,712.57,2024-10-11
183,997,724.24,2024-08-24
184,2157,416.39,2023-08-21
185,3271,528.5,2024-11-26
186,3649,632.44,2024-08-15
187,791,421.62,2024-05-29
188,2322,867.71,2023-02-14
189,953,828.41,2024-04-02
190,16,683.95,2023-07-23
191,722,760.31,2024-01-22
192,904,633.07,2023-05-27
193,2891,657.2,2024-07-13
194,1094,759.62,2024-06-12
195,2118,762.56,2023-06-24
196,3623,933.73,2024-10-16
197,4154,857.69,2023-09-28
198,2959,545.58,2023-04-04
199,1440,905.76,2024-09-14
200,4632,573.54,2023-06-15
201,895,731.6,2024-11-21
202,3911,891.58,2024-10-15
