po_id,vendor_id,material_id,quantity_tons,price_per_ton,total_value,order_date
10001,689,1293,16.91,404.9,6846.86,2024-06-07
10002,4837,2216,22.82,754.6,17219.97,2023-06-19
10003,4135,1233,17.0,604.08,10269.36,2024-04-19
10004,3909,410,19.52,585.26,11424.28,2023-10-01
10005,966,2119,5.86,562.78,3297.89,2023-04-01
10006,2905,3500,20.8,604.11,12565.49,2023-02-15
10007,2033,1451,14.89,681.11,10141.73,2024-05-14
10008,4532,4573,10.68,886.26,9465.26,2023-08-18
10009,877,3771,11.67,576.43,6726.94,2024-08-17
10010,3262,1489,20.96,832.89,17457.37,2023-10-27
10011,3455,2319,17.8,880.86,15679.31,2024-09-16
10012,2170,3517,12.53,678.08,8496.34,2023-01-27
10013,1243,531,10.31,657.02,6773.88,2024-03-30
10014,838,3162,5.23,686.5,3590.4,2023-05-26
10015,4752,1992,8.2,910.05,7462.41,2024-10-07
10016,1025,3,13.13,675.57,8870.23,2024-05-29
10017,1819,2179,24.35,926.09,22550.29,2024-07-01
10018,1868,337,13.0,768.01,9984.13,2024-03-22
10019,3929,1240,7.75,505.12,3914.68,2024-06-23
10020,3481,181,13.9,695.45,9666.76,2024-09-30
10021,606,1757,21.66,403.51,8740.03,2023-04-26
10022,2034,2931,16.73,804.01,13451.09,2024-11-08
10023,1338,1676,20.11,709.81,14274.28,2024-02-22
10024,3340,4,7.16,478.01,3422.55,2023-12-16
10025,2085,2632,8.73,499.18,4357.84,2024-07-23
10026,180,1357,15.22,590.36,8985.28,2024-01-04
10027,2475,4060,23.13,517.05,11959.37,2023-05-29
10028,3514,2605,10.24,719.77,7370.44,2024-10-27
10029,2369,2242,5.63,465.95,2623.3,2023-01-29
10030,518,3851,20.75,599.83,12446.47,2024-05-10
10031,536,4226,22.93,908.81,20839.01,2023-05-10
10032,4696,4478,19.0,706.73,13427.87,2024-10-07
10033,24,3283,5.84,674.63,3939.84,2024-04-17
10034,2225,653,21.67,437.28,9475.86,2024-03-29
10035,857,1856,10.42,660.18,6879.08,2023-12-01
10036,3085,2172,17.45,901.47,15730.65,2024-07-13
10037,2040,4766,13.44,747.9,10051.78,2024-02-10
10038,2553,4152,18.93,679.73,12867.29,2024-01-26
10039,740,2682,16.34,763.21,12470.85,2023-12-15
10040,404,907,16.77,937.34,15719.19,2023-05-08
10041,1480,480,17.27,783.43,13529.84,2024-12-04
10042,2019,3126,20.62,946.81,19523.22,2024-12-12
10043,3887,644,5.89,418.03,2462.2,2024-03-08
10044,4883,4406,18.66,387.12,7223.66,2024-07-22
10045,2576,2037,21.15,474.28,10031.02,2024-02-25
10046,820,4217,24.52,738.57,18109.74,2024-08-16
10047,458,3105,10.2,573.43,5848.99,2024-05-12
10048,4690,2467,5.15,364.86,1879.03,2023-05-20
10049,2050,1466,10.97,932.76,10232.38,2023-02-18
10050,3073,2245,10.87,575.8,6258.95,2024-07-24
10051,3363,410,17.27,608.8,10513.98,2023-12-01
10052,118,2546,20.78,507.28,10541.28,2023-11-19
10053,3630,2785,13.47,568.51,7657.83,2024-07-04
10054,2528,2613,22.85,692.73,15828.88,2023-08-15
10055,4986,237,8.85,653.85,5786.57,2024-03-11
10056,3028,2115,7.62,864.22,6585.36,2024-02-19
10057,1510,3431,22.52,819.97,18465.72,2023-12-11
10058,3249,2737,19.01,382.52,7271.71,2024-09-10
10059,440,76,17.16,487.34,8362.75,2024-12-12
10060,1530,971,23.64,605.3,14309.29,2023-06-29
10061,3703,3508,8.04,458.63,3687.39,2024-05-04
10062,3287,1101,18.88,634.37,11976.91,2023-11-20
10063,850,648,17.27,584.09,10087.23,2023-07-01
10064,757,3052,10.62,940.1,9983.86,2024-05-30
10065,4236,3181,21.31,500.72,10670.34,2023-03-03
10066,4398,123,5.12,892.66,4570.42,2023-04-21
10067,3245,3942,14.49,659.76,9559.92,2024-12-29
10068,1605,649,14.89,685.3,10204.12,2023-06-27
10069,2936,3638,16.56,879.49,14564.35,2023-01-14
10070,1106,3347,23.62,513.92,12138.79,2023-09-27
10071,3482,624,22.05,733.16,16166.18,2023-05-31
10072,439,1671,19.61,901.71,17682.53,2024-06-25
10073,3922,2803,10.02,791.25,7928.32,2023-08-22
10074,3162,4361,13.6,767.86,10442.9,2023-02-19
10075,1383,3019,14.22,560.21,7966.19,2023-09-29
10076,1048,1011,23.96,454.9,10899.4,2024-11-18
10077,4125,2657,16.15,800.71,12931.47,2023-09-17
10078,2199,387,12.24,801.45,9809.75,2023-02-02
10079,2503,3010,18.52,607.54,11251.64,2023-10-20
10080,1194,1613,18.04,553.12,9978.28,2023-03-20
10081,1263,3666,7.23,916.68,6627.6,2023-10-20
10082,4025,696,20.4,718.87,14664.95,2024-04-06
10083,1690,1990,13.77,814.13,11210.57,2024-11-11
10084,1363,4009,10.87,734.91,7988.47,2023-06-23
10085,4548,4415,5.61,870.57,4883.9,2024-01-24
10086,3890,2897,18.7,841.79,15741.47,2023-01-13
10087,552,4971,18.1,386.47,6995.11,2024-02-01
10088,2089,2695,24.25,846.02,20515.99,2024-10-12
10089,1881,2663,8.89,581.97,5173.71,2024-07-12
10090,1880,2712,15.06,436.9,6579.71,2023-08-24
10091,851,4217,22.62,357.09,8077.38,2023-03-12
10092,3885,4139,19.3,587.8,11344.54,2023-10-21
10093,3482,2830,15.28,390.18,5961.95,2023-06-26
10094,2945,2144,10.58,502.64,5317.93,2023-09-26
10095,1723,4384,13.55,845.51,11456.66,2024-01-06
10096,1782,3690,18.77,635.07,11920.26,2024-12-22
10097,2626,1974,20.69,414.29,8571.66,2024-10-21
10098,3740,4116,16.92,438.25,7415.19,2024-06-08
10099,3163,4653,18.22,874.48,15933.03,2024-08-16
10100,4215,1270,13.51,701.8,9481.32,2024-12-08
10101,2577,3943,16.98,533.65,9061.38,2024-08-15
10102,858,2247,19.06,852.51,16248.84,2024-04-05
10103,1906,299,18.62,502.28,9352.45,2023-04-02
10104,4428,3124,22.24,941.9,20947.86,2024-12-28
10105,1669,4561,10.05,510.68,5132.33,2024-10-26
10106,4272,1929,9.53,619.72,5905.93,2023-09-01
10107,924,4504,16.36,411.92,6739.01,2024-05-26
10108,1288,4642,5.6,901.97,5051.03,2023-08-04
10109,4217,405,24.67,660.25,16288.37,2024-12-29
10110,1375,1194,16.56,904.47,14978.02,2023-05-05
10111,1517,1885,5.9,420.18,2479.06,2023-06-29
10112,4277,3162,22.78,359.77,8195.56,2024-04-17
10113,245,4161,13.68,418.77,5728.77,2024-10-08
10114,3940,3165,16.94,870.7,14749.66,2023-05-05
10115,2421,1552,5.22,400.17,2088.89,2024-01-17
10116,506,1928,12.67,405.76,5140.98,2024-07-20
10117,1999,697,10.79,541.59,5843.76,2024-08-26
10118,3954,2264,15.21,378.42,5755.77,2024-03-07
10119,4509,1133,20.66,809.86,16731.71,2023-07-19
10120,4823,2592,11.3,595.2,6725.76,2024-11-23
10121,1627,139,20.8,370.92,7715.14,2024-04-13
10122,1495,29,21.71,592.57,12864.69,2024-01-14
10123,2699,4820,21.35,517.37,11045.85,2024-01-24
10124,161,378,13.75,394.72,5427.4,2024-03-22
10125,3195,3458,13.66,888.13,12131.86,2023-10-03
10126,3220,3039,6.84,357.83,2447.56,2023-11-03
10127,1842,2312,22.35,775.38,17329.74,2023-01-02
10128,824,3268,21.16,674.99,14282.79,2024-09-20
10129,2203,3846,21.36,899.78,19219.3,2023-02-12
10130,4602,1595,15.46,359.03,5550.6,2024-03-16
10131,4539,1154,13.39,471.38,6311.78,2024-01-22
10132,3320,1306,15.69,690.48,10833.63,2024-02-02
10133,4326,1918,17.14,820.95,14071.08,2024-07-06
10134,4635,970,13.67,683.25,9340.03,2024-04-28
10135,3976,596,15.58,759.28,11829.58,2024-01-08
10136,3513,1480,5.61,831.71,4665.89,2024-01-07
10137,3724,3089,14.07,396.52,5579.04,2023-01-24
10138,183,713,18.86,492.05,9280.06,2023-05-16
10139,2937,3724,13.63,770.93,10507.78,2024-10-08
10140,1531,3115,15.44,685.44,10583.19,2023-01-16
10141,48,4683,11.05,397.2,4389.06,2024-01-13
10142,3777,2960,23.69,914.45,21663.32,2023-12-10
10143,965,3773,15.21,932.91,14189.56,2024-05-13
10144,1131,4000,14.14,773.64,10939.27,2023-10-31
10145,612,792,12.7,460.93,5853.81,2024-07-08
10146,4518,1186,18.46,850.87,15707.06,2023-10-15
10147,3300,1129,6.84,777.66,5319.19,2024-03-22
10148,4942,3912,10.33,447.63,4624.02,2023-12-09
10149,438,2166,15.24,394.67,6014.77,2024-01-11
10150,4535,2840,10.33,429.13,4432.91,2024-11-28
10151,372,2613,10.87,641.66,6974.84,2024-03-21
10152,4735,1160,20.59,425.85,8768.25,2023-05-10
10153,1,4707,21.89,570.3,12483.87,2023-01-19
10154,3272,1799,23.76,379.87,9025.71,2024-12-22
10155,433,3764,22.97,596.01,13690.35,2023-06-25
10156,3851,1456,9.23,431.61,3983.76,2024-05-30
10157,2688,2294,8.26,685.99,5666.28,2023-01-06
10158,4233,1498,6.17,641.28,3956.7,2023-06-14
10159,1970,739,18.78,780.25,14653.1,2023-05-20
10160,4443,3057,24.87,393.49,9786.1,2023-01-07
10161,2879,4608,14.63,385.35,5637.67,2024-10-18
10162,750,952,18.96,919.27,17429.36,2024-08-11
10163,1459,3800,12.44,350.62,4361.71,2023-04-22
10164,2581,1524,24.62,744.16,18321.22,2024-03-13
10165,2972,1863,6.62,878.07,5812.82,2024-03-27
10166,1636,360,6.06,691.71,4191.76,2023-02-03
10167,4864,2572,14.25,835.8,11910.15,2024-11-27
10168,2101,710,5.29,924.19,4888.97,2024-05-31
10169,2681,2401,16.48,537.36,8855.69,2023-08-21
10170,4649,4276,21.21,434.51,9215.96,2024-04-24
10171,1748,3377,13.26,683.2,9059.23,2023-12-19
10172,3869,947,7.63,504.25,3847.43,2024-02-28
10173,4217,1158,21.73,402.85,8753.93,2024-04-30
10174,4411,678,9.04,536.51,4850.05,2023-08-07
10175,580,291,23.03,785.21,18083.39,2023-09-22
10176,4600,3304,11.65,442.24,5152.1,2023-08-16
10177,2432,1748,18.69,391.23,7312.09,2024-01-04
10178,1983,2764,13.76,664.41,9142.28,2023-06-05
10179,2237,4471,13.41,386.29,5180.15,2024-03-21
10180,1588,4820,5.78,607.56,3511.7,2024-07-15
10181,2060,2455,9.38,780.65,7322.5,2024-07-08
10182,1449,2605,15.07,678.3,10221.98,2023-08-22
10183,2441,3326,12.65,938.84,11876.33,2023-05-22
10184,435,3650,15.8,548.51,8666.46,2024-03-30
10185,3224,2950,23.54,772.81,18191.95,2024-04-04
10186,2984,3253,17.4,561.46,9769.4,2023-06-13
10187,80,4867,9.12,459.66,4192.1,2023-02-04
10188,2659,878,15.82,549.98,8700.68,2023-02-13
10189,226,4916,14.87,769.9,11448.41,2023-04-15
10190,683,821,22.79,409.84,9340.25,2024-04-18
10191,777,4924,20.58,914.84,18827.41,2024-12-04
10192,2417,3647,5.38,547.12,2943.51,2024-11-29
10193,1452,1378,12.78,762.04,9738.87,2024-10-11
10194,3039,1916,5.48,780.25,4275.77,2023-11-19
10195,682,1452,21.35,909.3,19413.56,2023-01-01
10196,1493,3586,22.86,750.12,17147.74,2023-11-18
10197,2928,488,20.7,890.06,18424.24,2023-01-11
10198,416,647,8.16,600.61,4900.98,2023-11-24
10199,1500,2843,7.22,478.76,3456.65,2024-11-01
10200,3606,2784,18.73,702.92,13165.69,2023-02-02
10201,4034,819,13.76,376.3,5177.89,2024-03-29
10202,3799,4874,19.08,856.71,16346.03,2024-07-17
10203,4833,3000,5.99,562.32,3368.3,2024-10-21
10204,539,395,5.56,488.36,2715.28,2023-01-10
10205,1772,2491,24.65,522.71,12884.8,2023-01-13
10206,971,25,9.07,888.36,8057.43,2023-10-12
10207,1758,3510,11.96,912.61,10914.82,2023-02-16
10208,2329,528,15.13,769.24,11638.6,2023-03-15
10209,769,1814,15.86,726.12,11516.26,2024-10-31
10210,1428,4469,11.74,719.22,8443.64,2024-01-03
10211,3063,4646,11.92,800.03,9536.36,2023-12-15
10212,579,273,7.93,566.81,4494.8,2023-03-02
10213,4732,107,13.15,642.14,8444.14,2024-10-21
10214,4486,482,5.38,692.72,3726.83,2023-03-17
10215,3912,2153,15.93,780.28,12429.86,2023-02-15
