vendor_id,vendor_name,location,rating,lead_time_days
1,Vendor_1,Pune,3.54,7
2,Vendor_2,Chennai,3.83,14
3,Vendor_3,Pune,4.52,11
4,Vendor_4,Pune,4.39,3
5,Vendor_5,Mumbai,3.64,6
6,Vendor_6,Surat,4.4,11
7,Vendor_7,Chennai,4.57,14
8,Vendor_8,Surat,4.13,10
9,Vendor_9,Nagpur,3.92,3
10,Vendor_10,Delhi,4.55,8
11,Vendor_11,Bangalore,3.73,15
12,Vendor_12,Kolkata,3.65,9
13,Vendor_13,Pune,4.04,8
14,Vendor_14,Nagpur,3.9,3
15,Vendor_15,Ahmedabad,4.3,9
16,Vendor_16,Pune,4.33,13
17,Vendor_17,Nagpur,4.83,8
18,Vendor_18,Nagpur,3.79,4
19,Vendor_19,Mumbai,4.49,15
20,Vendor_20,Bangalore,4.98,6
21,Vendor_21,Pune,4.07,10
22,Vendor_22,Kolkata,3.74,8
23,Vendor_23,Chennai,4.51,14
24,Vendor_24,Pune,4.41,5
25,Vendor_25,Surat,4.59,5
26,Vendor_26,Ahmedabad,4.07,13
27,Vendor_27,Surat,3.83,8
28,Vendor_28,Mumbai,3.84,3
29,Vendor_29,Kolkata,4.1,4
30,Vendor_30,Chennai,4.87,12
31,Vendor_31,Kolkata,3.82,10
32,Vendor_32,Hyderabad,4.83,13
33,Vendor_33,Ahmedabad,3.71,5
34,Vendor_34,Chennai,4.62,11
35,Vendor_35,Bangalore,4.62,9
36,Vendor_36,Nagpur,4.1,6
37,Vendor_37,Delhi,4.26,4
38,Vendor_38,Mumbai,4.79,5
39,Vendor_39,Delhi,4.69,9
40,Vendor_40,Nagpur,3.6,9
41,Vendor_41,Nagpur,4.99,11
42,Vendor_42,Bangalore,4.96,3
43,Vendor_43,Pune,4.52,11
44,Vendor_44,Bangalore,4.65,8
45,Vendor_45,Pune,3.94,5
46,Vendor_46,Ahmedabad,3.5,14
47,Vendor_47,Bangalore,4.96,15
48,Vendor_48,Delhi,4.26,4
49,Vendor_49,Bangalore,4.76,11
50,Vendor_50,Nagpur,3.8,8
51,Vendor_51,Delhi,4.31,15
52,Vendor_52,Surat,4.88,12
53,Vendor_53,Kolkata,4.23,4
54,Vendor_54,Kolkata,4.82,15
55,Vendor_55,Bangalore,3.86,6
56,Vendor_56,Nagpur,4.92,4
57,Vendor_57,Ahmedabad,4.72,15
58,Vendor_58,Surat,4.65,5
59,Vendor_59,Ahmedabad,4.92,5
60,Vendor_60,Bangalore,4.29,12
61,Vendor_61,Hyderabad,4.95,11
62,Vendor_62,Chennai,4.57,9
63,Vendor_63,Kolkata,4.16,11
64,Vendor_64,Ahmedabad,3.68,6
65,Vendor_65,Pune,4.01,12
66,Vendor_66,Surat,3.85,6
67,Vendor_67,Mumbai,3.61,13
68,Vendor_68,Mumbai,3.84,3
69,Vendor_69,Kolkata,3.61,6
70,Vendor_70,Bangalore,4.5,6
71,Vendor_71,Surat,3.7,12
72,Vendor_72,Nagpur,4.21,15
73,Vendor_73,Ahmedabad,4.71,6
74,Vendor_74,Pune,3.65,9
75,Vendor_75,Kolkata,4.14,10
76,Vendor_76,Mumbai,4.51,13
77,Vendor_77,Pune,3.59,14
78,Vendor_78,Kolkata,4.7,4
79,Vendor_79,Chennai,3.79,11
80,Vendor_80,Ahmedabad,3.71,5
81,Vendor_81,Bangalore,4.19,4
82,Vendor_82,Ahmedabad,4.71,11
83,Vendor_83,Pune,3.58,11
84,Vendor_84,Mumbai,4.95,15
85,Vendor_85,Chennai,3.75,10
86,Vendor_86,Ahmedabad,3.82,9
87,Vendor_87,Mumbai,3.75,3
88,Vendor_88,Hyderabad,3.9,15
89,Vendor_89,Ahmedabad,3.93,14
90,Vendor_90,Surat,4.49,10
91,Vendor_91,Delhi,3.78,6
92,Vendor_92,Mumbai,4.37,11
93,Vendor_93,Mumbai,4.62,3
94,Vendor_94,Mumbai,4.38,11
95,Vendor_95,Surat,3.74,11
96,Vendor_96,Pune,4.78,4
97,Vendor_97,Nagpur,3.6,6
98,Vendor_98,Hyderabad,3.68,12
99,Vendor_99,Chennai,4.37,3
100,Vendor_100,Nagpur,3.62,13
101,Vendor_101,Nagpur,4.35,8
102,Vendor_102,Bangalore,3.81,14
103,Vendor_103,Kolkata,3.86,9
104,Vendor_104,Delhi,4.51,7
105,Vendor_105,Ahmedabad,3.97,15
106,Vendor_106,Pune,3.51,12
107,Vendor_107,Nagpur,4.99,4
108,Vendor_108,Surat,3.82,7
109,Vendor_109,Delhi,4.9,4
110,Vendor_110,Chennai,4.05,5
111,Vendor_111,Ahmedabad,4.75,14
112,Vendor_112,Bangalore,4.42,15
113,Vendor_113,Surat,3.51,11
114,Vendor_114,Bangalore,4.9,4
115,Vendor_115,Delhi,3.9,4
116,Vendor_116,Surat,3.73,7
117,Vendor_117,Nagpur,3.82,8
118,Vendor_118,Chennai,4.53,7
119,Vendor_119,Surat,4.23,3
120,Vendor_120,Pune,4.45,7
121,Vendor_121,Mumbai,3.51,15
122,Vendor_122,Delhi,4.46,7
123,Vendor_123,Delhi,4.61,11
124,Vendor_124,Hyderabad,4.34,4
125,Vendor_125,Pune,4.92,14
126,Vendor_126,Delhi,4.32,8
127,Vendor_127,Nagpur,4.33,9
128,Vendor_128,Delhi,3.56,8
129,Vendor_129,Mumbai,4.85,6
130,Vendor_130,Chennai,4.5,8
131,Vendor_131,Surat,4.83,9
132,Vendor_132,Nagpur,4.62,6
133,Vendor_133,Delhi,4.96,15
134,Vendor_134,Delhi,4.82,3
135,Vendor_135,Delhi,4.6,8
136,Vendor_136,Hyderabad,4.7,14
137,Vendor_137,Chennai,3.9,15
138,Vendor_138,Pune,4.07,3
139,Vendor_139,Ahmedabad,3.83,10
140,Vendor_140,Kolkata,3.96,15
141,Vendor_141,Chennai,3.83,13
142,Vendor_142,Chennai,4.1,7
143,Vendor_143,Pune,4.95,7
144,Vendor_144,Kolkata,4.46,9
145,Vendor_145,Surat,4.0,3
146,Vendor_146,Pune,4.82,7
147,Vendor_147,Delhi,4.37,7
148,Vendor_148,Mumbai,3.66,9
149,Vendor_149,Kolkata,4.59,8
150,Vendor_150,Hyderabad,4.41,11
151,Vendor_151,Pune,4.08,12
152,Vendor_152,Chennai,3.88,14
153,Vendor_153,Hyderabad,3.5,15
154,Vendor_154,Surat,4.53,14
155,Vendor_155,Chennai,4.05,4
156,Vendor_156,Kolkata,4.43,13
157,Vendor_157,Pune,4.58,7
158,Vendor_158,Surat,3.96,9
159,Vendor_159,Kolkata,4.1,7
160,Vendor_160,Surat,3.69,9
161,Vendor_161,Hyderabad,4.52,5
162,Vendor_162,Nagpur,4.35,9
163,Vendor_163,Surat,4.75,7
164,Vendor_164,Bangalore,3.82,15
165,Vendor_165,Nagpur,4.41,8
166,Vendor_166,Ahmedabad,4.16,13
167,Vendor_167,Chennai,4.27,15
168,Vendor_168,Delhi,4.49,7
169,Vendor_169,Surat,4.5,12
170,Vendor_170,Kolkata,3.64,15
171,Vendor_171,Chennai,4.51,6
172,Vendor_172,Chennai,3.72,3
173,Vendor_173,Chennai,4.98,12
174,Vendor_174,Pune,4.18,13
175,Vendor_175,Nagpur,3.79,14
176,Vendor_176,Hyderabad,4.24,6
177,Vendor_177,Delhi,4.48,3
178,Vendor_178,Pune,4.67,6
179,Vendor_179,Delhi,4.71,14
180,Vendor_180,Surat,4.2,11
181,Vendor_181,Chennai,4.88,4
182,Vendor_182,Ahmedabad,3.7,10
183,Vendor_183,Surat,4.98,12
184,Vendor_184,Kolkata,4.93,10
185,Vendor_185,Nagpur,4.72,11
186,Vendor_186,Hyderabad,4.75,11
187,Vendor_187,Ahmedabad,4.85,14
188,Vendor_188,Ahmedabad,4.18,15
189,Vendor_189,Chennai,4.76,7
190,Vendor_190,Surat,4.23,6
191,Vendor_191,Bangalore,4.16,14
192,Vendor_192,Bangalore,3.85,8
193,Vendor_193,Kolkata,4.84,4
194,Vendor_194,Delhi,3.73,9
195,Vendor_195,Delhi,4.56,4
196,Vendor_196,Hyderabad,4.11,11
197,Vendor_197,Ahmedabad,4.12,6
198,Vendor_198,Hyderabad,4.08,15
199,Vendor_199,Nagpur,4.92,3
200,Vendor_200,Nagpur,4.07,3
201,Vendor_201,Kolkata,3.95,9
202,Vendor_202,Hyderabad,4.31,14
203,Vendor_203,Surat,4.7,6
204,Vendor_204,Ahmedabad,3.83,9
205,Vendor_205,Ahmedabad,3.54,8
206,Vendor_206,Hyderabad,4.59,10
207,Vendor_207,Delhi,4.97,11
208,Vendor_208,Mumbai,4.86,12
209,Vendor_209,Nagpur,4.49,4
210,Vendor_210,Hyderabad,3.7,10
211,Vendor_211,Delhi,3.58,9
212,Vendor_212,Kolkata,3.82,8
213,Vendor_213,Kolkata,4.64,9
214,Vendor_214,Bangalore,4.63,9
215,Vendor_215,Bangalore,4.75,10
216,Vendor_216,Mumbai,4.62,3
217,Vendor_217,Kolkata,3.84,4
218,Vendor_218,Mumbai,4.63,6
219,Vendor_219,Chennai,4.76,12
220,Vendor_220,Delhi,3.86,10
221,Vendor_221,Pune,4.35,6
222,Vendor_222,Ahmedabad,4.55,15
223,Vendor_223,Kolkata,3.75,12
224,Vendor_224,Pune,4.67,5
225,Vendor_225,Bangalore,3.66,3
226,Vendor_226,Bangalore,4.36,9
227,Vendor_227,Hyderabad,4.91,6
228,Vendor_228,Pune,4.39,13
229,Vendor_229,Chennai,3.65,15
230,Vendor_230,Bangalore,4.78,12
231,Vendor_231,Pune,4.69,12
232,Vendor_232,Mumbai,4.02,9
233,Vendor_233,Kolkata,3.6,13
234,Vendor_234,Kolkata,3.52,9
235,Vendor_235,Ahmedabad,3.66,8
236,Vendor_236,Ahmedabad,4.56,9
237,Vendor_237,Delhi,4.6,13
238,Vendor_238,Bangalore,4.42,11
239,Vendor_239,Ahmedabad,4.2,14
240,Vendor_240,Nagpur,3.9,6
241,Vendor_241,Pune,3.92,10
242,Vendor_242,Chennai,4.63,12
243,Vendor_243,Nagpur,4.5,8
244,Vendor_244,Mumbai,4.24,8
245,Vendor_245,Delhi,4.23,8
246,Vendor_246,Bangalore,4.01,12
247,Vendor_247,Bangalore,4.33,11
248,Vendor_248,Chennai,3.63,14
249,Vendor_249,Hyderabad,4.23,15
250,Vendor_250,Chennai,4.54,13
251,Vendor_251,Ahmedabad,4.17,3
252,Vendor_252,Pune,3.94,9
253,Vendor_253,Chennai,3.96,12
254,Vendor_254,Kolkata,4.21,11
255,Vendor_255,Kolkata,4.14,14
256,Vendor_256,Surat,4.0,14
257,Vendor_257,Ahmedabad,3.91,7
258,Vendor_258,Chennai,3.68,6
259,Vendor_259,Kolkata,3.68,11
260,Vendor_260,Delhi,3.79,14
261,Vendor_261,Ahmedabad,3.91,12
262,Vendor_262,Surat,4.4,4
263,Vendor_263,Chennai,3.94,8
264,Vendor_264,Delhi,3.95,14
265,Vendor_265,Surat,3.69,3
266,Vendor_266,Mumbai,4.33,14
267,Vendor_267,Delhi,4.46,15
268,Vendor_268,Ahmedabad,3.65,3
269,Vendor_269,Nagpur,3.93,10
270,Vendor_270,Ahmedabad,4.01,3
271,Vendor_271,Bangalore,4.91,10
272,Vendor_272,Pune,4.73,9
273,Vendor_273,Ahmedabad,3.61,13
274,Vendor_274,Mumbai,3.73,15
275,Vendor_275,Nagpur,4.92,4
276,Vendor_276,Chennai,3.68,15
277,Vendor_277,Hyderabad,4.41,15
278,Vendor_278,Nagpur,3.84,11
279,Vendor_279,Hyderabad,4.18,10
280,Vendor_280,Bangalore,4.79,9
281,Vendor_281,Bangalore,4.35,3
282,Vendor_282,Nagpur,4.94,4
283,Vendor_283,Chennai,4.44,7
284,Vendor_284,Pune,3.74,5
285,Vendor_285,Surat,3.61,3
286,Vendor_286,Hyderabad,4.18,12
287,Vendor_287,Ahmedabad,3.94,6
288,Vendor_288,Bangalore,4.56,14
289,Vendor_289,Ahmedabad,3.61,6
290,Vendor_290,Bangalore,4.68,13
291,Vendor_291,Nagpur,4.49,6
292,Vendor_292,Hyderabad,3.67,6
293,Vendor_293,Delhi,4.86,5
294,Vendor_294,Pune,3.59,15
295,Vendor_295,Bangalore,4.39,12
296,Vendor_296,Bangalore,4.16,10
297,Vendor_297,Bangalore,4.55,7
298,Vendor_298,Surat,4.31,10
299,Vendor_299,Pune,4.4,9
300,Vendor_300,Kolkata,4.41,3
301,Vendor_301,Pune,3.84,13
302,Vendor_302,Nagpur,4.38,3
303,Vendor_303,Bangalore,4.36,15
304,Vendor_304,Delhi,4.21,13
305,Vendor_305,Ahmedabad,4.87,5
306,Vendor_306,Nagpur,4.15,10
307,Vendor_307,Pune,4.21,9
308,Vendor_308,Kolkata,3.98,4
309,Vendor_309,Delhi,3.99,14
310,Vendor_310,Ahmedabad,3.93,9
311,Vendor_311,Surat,3.56,4
312,Vendor_312,Kolkata,3.88,4
313,Vendor_313,Hyderabad,4.8,3
314,Vendor_314,Surat,4.19,3
315,Vendor_315,Chennai,4.28,12
316,Vendor_316,Ahmedabad,4.44,15
317,Vendor_317,Mumbai,3.81,11
318,Vendor_318,Delhi,4.89,10
319,Vendor_319,Ahmedabad,3.68,13
320,Vendor_320,Nagpur,4.7,14
321,Vendor_321,Delhi,3.97,3
322,Vendor_322,Surat,4.11,6
323,Vendor_323,Pune,4.19,4
324,Vendor_324,Delhi,4.25,14
325,Vendor_325,Bangalore,4.26,7
326,Vendor_326,Hyderabad,4.75,10
327,Vendor_327,Chennai,4.19,5
328,Vendor_328,Hyderabad,3.79,12
329,Vendor_329,Surat,4.62,5
330,Vendor_330,Pune,3.91,15
331,Vendor_331,Hyderabad,4.01,15
332,Vendor_332,Surat,3.9,3
333,Vendor_333,Bangalore,4.59,12
334,Vendor_334,Nagpur,5.0,10
335,Vendor_335,Delhi,4.17,10
336,Vendor_336,Kolkata,4.0,15
337,Vendor_337,Surat,4.07,8
338,Vendor_338,Chennai,4.97,6
339,Vendor_339,Nagpur,4.07,15
340,Vendor_340,Hyderabad,3.57,14
341,Vendor_341,Ahmedabad,4.56,15
342,Vendor_342,Hyderabad,4.08,13
343,Vendor_343,Delhi,4.24,3
344,Vendor_344,Delhi,4.25,12
345,Vendor_345,Kolkata,4.8,10
346,Vendor_346,Pune,4.29,10
347,Vendor_347,Mumbai,4.58,9
348,Vendor_348,Delhi,3.61,15
349,Vendor_349,Bangalore,4.01,14
350,Vendor_350,Hyderabad,4.47,8
351,Vendor_351,Surat,4.07,8
352,Vendor_352,Ahmedabad,4.81,3
353,Vendor_353,Nagpur,3.6,13
354,Vendor_354,Bangalore,5.0,14
355,Vendor_355,Pune,4.15,4
356,Vendor_356,Pune,4.17,14
357,Vendor_357,Bangalore,4.86,3
358,Vendor_358,Kolkata,4.69,7
359,Vendor_359,Kolkata,4.06,5
360,Vendor_360,Chennai,4.3,12
361,Vendor_361,Delhi,3.75,4
362,Vendor_362,Nagpur,4.81,12
363,Vendor_363,Chennai,4.25,12
364,Vendor_364,Delhi,3.85,13
365,Vendor_365,Bangalore,4.19,13
366,Vendor_366,Mumbai,4.85,10
367,Vendor_367,Bangalore,4.52,5
368,Vendor_368,Pune,4.16,8
369,Vendor_369,Nagpur,3.95,9
370,Vendor_370,Bangalore,4.19,7
371,Vendor_371,Chennai,5.0,10
372,Vendor_372,Pune,3.86,12
373,Vendor_373,Kolkata,4.36,14
374,Vendor_374,Bangalore,3.53,13
375,Vendor_375,Hyderabad,3.91,12
376,Vendor_376,Mumbai,4.87,14
377,Vendor_377,Ahmedabad,4.75,7
378,Vendor_378,Chennai,4.41,8
379,Vendor_379,Chennai,4.45,12
380,Vendor_380,Bangalore,4.52,14
381,Vendor_381,Delhi,4.44,13
382,Vendor_382,Mumbai,3.96,10
383,Vendor_383,Mumbai,4.37,14
384,Vendor_384,Delhi,3.64,7
385,Vendor_385,Kolkata,4.62,5
386,Vendor_386,Chennai,3.7,11
387,Vendor_387,Kolkata,4.3,7
388,Vendor_388,Delhi,3.89,10
389,Vendor_389,Bangalore,4.62,8
390,Vendor_390,Pune,4.2,4
391,Vendor_391,Delhi,4.63,6
392,Vendor_392,Hyderabad,4.95,15
393,Vendor_393,Surat,4.05,15
394,Vendor_394,Hyderabad,3.52,11
395,Vendor_395,Pune,4.18,13
396,Vendor_396,Bangalore,4.38,13
397,Vendor_397,Kolkata,3.66,6
398,Vendor_398,Ahmedabad,3.54,11
399,Vendor_399,Kolkata,4.87,6
400,Vendor_400,Pune,4.45,10
401,Vendor_401,Bangalore,4.47,4
402,Vendor_402,Delhi,3.57,3
403,Vendor_403,Bangalore,4.99,4
404,Vendor_404,Pune,3.85,11
405,Vendor_405,Delhi,4.08,8
406,Vendor_406,Surat,4.13,14
407,Vendor_407,Delhi,4.83,13
408,Vendor_408,Pune,4.75,12
409,Vendor_409,Hyderabad,4.91,7
410,Vendor_410,Mumbai,4.54,6
411,Vendor_411,Ahmedabad,4.17,6
412,Vendor_412,Kolkata,3.65,13
413,Vendor_413,Kolkata,4.32,13
414,Vendor_414,Kolkata,3.59,7
415,Vendor_415,Chennai,4.95,10
416,Vendor_416,Pune,4.49,13
417,Vendor_417,Nagpur,4.96,3
418,Vendor_418,Kolkata,3.87,5
419,Vendor_419,Nagpur,3.81,15
420,Vendor_420,Surat,3.81,6
421,Vendor_421,Chennai,3.99,5
422,Vendor_422,Nagpur,3.5,5
423,Vendor_423,Delhi,4.31,15
424,Vendor_424,Delhi,3.66,3
425,Vendor_425,Delhi,3.52,15
426,Vendor_426,Chennai,4.38,3
427,Vendor_427,Delhi,3.9,5
428,Vendor_428,Hyderabad,4.29,14
429,Vendor_429,Pune,4.21,15
430,Vendor_430,Kolkata,4.27,4
431,Vendor_431,Ahmedabad,4.26,12
432,Vendor_432,Mumbai,4.59,13
433,Vendor_433,Surat,3.95,13
434,Vendor_434,Mumbai,3.59,10
435,Vendor_435,Hyderabad,4.14,4
436,Vendor_436,Ahmedabad,4.57,10
437,Vendor_437,Pune,4.85,8
438,Vendor_438,Nagpur,3.72,5
439,Vendor_439,Bangalore,4.44,12
440,Vendor_440,Surat,4.57,9
441,Vendor_441,Nagpur,4.3,10
442,Vendor_442,Surat,4.41,4
443,Vendor_443,Pune,4.78,13
444,Vendor_444,Surat,4.58,6
445,Vendor_445,Hyderabad,4.18,6
446,Vendor_446,Hyderabad,4.01,10
447,Vendor_447,Hyderabad,4.12,4
448,Vendor_448,Kolkata,4.14,13
449,Vendor_449,Bangalore,4.06,5
450,Vendor_450,Ahmedabad,3.6,4
451,Vendor_451,Pune,4.15,14
452,Vendor_452,Kolkata,4.72,11
453,Vendor_453,Mumbai,4.38,11
454,Vendor_454,Surat,3.99,4
455,Vendor_455,Hyderabad,4.03,13
456,Vendor_456,Hyderabad,4.8,14
457,Vendor_457,Mumbai,4.95,12
458,Vendor_458,Bangalore,4.03,12
459,Vendor_459,Surat,3.82,13
460,Vendor_460,Ahmedabad,3.84,4
461,Vendor_461,Kolkata,4.77,8
462,Vendor_462,Pune,4.64,12
463,Vendor_463,Chennai,4.71,11
464,Vendor_464,Nagpur,4.42,13
465,Vendor_465,Surat,3.54,13
466,Vendor_466,Bangalore,3.54,7
467,Vendor_467,Bangalore,4.88,8
468,Vendor_468,Mumbai,3.77,5
469,Vendor_469,Nagpur,4.49,4
470,Vendor_470,Delhi,4.61,3
471,Vendor_471,Pune,4.62,6
472,Vendor_472,Hyderabad,4.13,8
473,Vendor_473,Delhi,4.06,14
474,Vendor_474,Kolkata,4.67,12
475,Vendor_475,Nagpur,3.63,3
476,Vendor_476,Delhi,3.74,12
477,Vendor_477,Mumbai,4.51,7
478,Vendor_478,Ahmedabad,4.49,10
479,Vendor_479,Nagpur,4.16,7
480,Vendor_480,Chennai,4.63,4
481,Vendor_481,Kolkata,4.14,7
482,Vendor_482,Nagpur,4.23,13
483,Vendor_483,Bangalore,3.57,9
484,Vendor_484,Nagpur,3.58,6
485,Vendor_485,Bangalore,4.92,15
486,Vendor_486,Delhi,4.65,7
487,Vendor_487,Kolkata,3.68,10
488,Vendor_488,Hyderabad,3.76,9
489,Vendor_489,Surat,4.56,11
490,Vendor_490,Surat,4.75,15
491,Vendor_491,Kolkata,3.61,14
492,Vendor_492,Mumbai,4.15,10
493,Vendor_493,Pune,4.79,12
494,Vendor_494,Hyderabad,4.36,14
495,Vendor_495,Hyderabad,3.93,9
496,Vendor_496,Mumbai,4.95,5
497,Vendor_497,Nagpur,4.19,14
498,Vendor_498,Kolkata,3.63,4
499,Vendor_499,Chennai,4.15,9
500,Vendor_500,Surat,3.62,7
501,Vendor_501,Kolkata,3.83,15
502,Vendor_502,Delhi,3.61,13
503,Vendor_503,Pune,4.3,6
504,Vendor_504,Kolkata,4.03,13
505,Vendor_505,Delhi,3.85,5
506,Vendor_506,Bangalore,3.8,12
507,Vendor_507,Delhi,4.64,13
508,Vendor_508,Pune,3.77,15
509,Vendor_509,Ahmedabad,4.2,12
510,Vendor_510,Nagpur,4.17,12
511,Vendor_511,Nagpur,3.98,13
512,Vendor_512,Kolkata,3.73,4
513,Vendor_513,Ahmedabad,4.16,7
514,Vendor_514,Bangalore,4.39,8
515,Vendor_515,Surat,3.61,10
516,Vendor_516,Ahmedabad,3.56,8
517,Vendor_517,Bangalore,3.62,4
518,Vendor_518,Nagpur,4.39,9
519,Vendor_519,Ahmedabad,4.37,15
520,Vendor_520,Mumbai,4.17,15
521,Vendor_521,Nagpur,4.48,8
522,Vendor_522,Nagpur,4.21,5
523,Vendor_523,Mumbai,4.18,15
524,Vendor_524,Kolkata,4.97,4
525,Vendor_525,Surat,4.47,3
526,Vendor_526,Chennai,4.56,10
527,Vendor_527,Surat,4.28,5
528,Vendor_528,Kolkata,4.06,7
529,Vendor_529,Hyderabad,4.11,8
530,Vendor_530,Nagpur,3.58,13
531,Vendor_531,Kolkata,3.6,4
532,Vendor_532,Surat,4.52,7
533,Vendor_533,Bangalore,4.59,13
534,Vendor_534,Nagpur,4.81,8
535,Vendor_535,Pune,4.37,5
536,Vendor_536,Kolkata,3.97,13
537,Vendor_537,Hyderabad,3.69,14
538,Vendor_538,Pune,3.96,9
539,Vendor_539,Kolkata,4.72,13
540,Vendor_540,Surat,3.64,13
541,Vendor_541,Hyderabad,4.26,3
542,Vendor_542,Kolkata,3.96,6
543,Vendor_543,Kolkata,4.92,10
544,Vendor_544,Chennai,3.84,5
545,Vendor_545,Delhi,3.62,15
546,Vendor_546,Pune,4.26,11
547,Vendor_547,Surat,3.56,8
548,Vendor_548,Nagpur,3.7,9
549,Vendor_549,Delhi,3.74,14
550,Vendor_550,Nagpur,4.71,5
551,Vendor_551,Ahmedabad,3.57,8
552,Vendor_552,Chennai,4.95,12
553,Vendor_553,Bangalore,4.63,15
554,Vendor_554,Ahmedabad,3.85,6
555,Vendor_555,Bangalore,4.95,15
556,Vendor_556,Ahmedabad,4.86,6
557,Vendor_557,Kolkata,4.52,12
558,Vendor_558,Ahmedabad,4.19,7
559,Vendor_559,Hyderabad,4.25,9
560,Vendor_560,Delhi,4.73,15
561,Vendor_561,Nagpur,3.71,7
562,Vendor_562,Mumbai,4.46,8
563,Vendor_563,Surat,4.9,14
564,Vendor_564,Surat,4.78,7
565,Vendor_565,Pune,4.64,7
566,Vendor_566,Ahmedabad,4.86,5
567,Vendor_567,Hyderabad,3.64,6
568,Vendor_568,Ahmedabad,4.83,3
569,Vendor_569,Hyderabad,3.58,11
570,Vendor_570,Kolkata,3.85,4
571,Vendor_571,Kolkata,3.84,8
572,Vendor_572,Pune,4.76,13
573,Vendor_573,Kolkata,4.69,5
574,Vendor_574,Mumbai,3.93,10
575,Vendor_575,Delhi,4.64,10
576,Vendor_576,Ahmedabad,4.42,4
577,Vendor_577,Mumbai,3.88,5
578,Vendor_578,Surat,4.91,12
579,Vendor_579,Surat,4.13,15
580,Vendor_580,Bangalore,3.86,4
581,Vendor_581,Mumbai,3.86,13
582,Vendor_582,Nagpur,4.19,4
583,Vendor_583,Ahmedabad,4.4,3
584,Vendor_584,Surat,4.36,14
585,Vendor_585,Delhi,3.94,3
586,Vendor_586,Nagpur,4.03,12
587,Vendor_587,Hyderabad,3.78,13
588,Vendor_588,Pune,4.29,8
589,Vendor_589,Pune,4.93,11
590,Vendor_590,Surat,4.68,11
591,Vendor_591,Surat,3.53,10
592,Vendor_592,Mumbai,4.45,8
593,Vendor_593,Bangalore,4.62,8
594,Vendor_594,Pune,4.02,14
595,Vendor_595,Pune,4.66,14
596,Vendor_596,Kolkata,3.7,8
597,Vendor_597,Surat,4.01,13
598,Vendor_598,Delhi,4.75,13
599,Vendor_599,Ahmedabad,4.97,10
600,Vendor_600,Delhi,4.72,4
601,Vendor_601,Ahmedabad,3.56,6
602,Vendor_602,Mumbai,4.69,3
603,Vendor_603,Kolkata,4.9,11
604,Vendor_604,Hyderabad,4.98,11
605,Vendor_605,Ahmedabad,3.88,15
606,Vendor_606,Chennai,3.93,15
607,Vendor_607,Mumbai,4.8,8
608,Vendor_608,Bangalore,3.69,8
609,Vendor_609,Hyderabad,4.83,14
610,Vendor_610,Ahmedabad,4.84,9
611,Vendor_611,Kolkata,4.96,10
612,Vendor_612,Ahmedabad,4.05,15
613,Vendor_613,Surat,3.9,4
614,Vendor_614,Hyderabad,3.62,12
615,Vendor_615,Delhi,4.32,8
616,Vendor_616,Pune,3.62,13
617,Vendor_617,Bangalore,3.96,12
618,Vendor_618,Hyderabad,3.75,10
619,Vendor_619,Kolkata,4.17,14
620,Vendor_620,Kolkata,4.42,9
621,Vendor_621,Bangalore,4.46,15
622,Vendor_622,Mumbai,3.61,13
623,Vendor_623,Hyderabad,4.04,15
624,Vendor_624,Delhi,4.93,5
625,Vendor_625,Nagpur,4.52,10
626,Vendor_626,Mumbai,3.69,6
627,Vendor_627,Kolkata,4.04,12
628,Vendor_628,Mumbai,4.41,13
629,Vendor_629,Ahmedabad,4.92,8
630,Vendor_630,Ahmedabad,4.64,12
631,Vendor_631,Delhi,4.29,9
632,Vendor_632,Kolkata,4.47,6
633,Vendor_633,Pune,3.54,5
634,Vendor_634,Ahmedabad,4.28,11
635,Vendor_635,Pune,3.89,7
636,Vendor_636,Ahmedabad,3.82,12
637,Vendor_637,Bangalore,4.54,10
638,Vendor_638,Chennai,3.68,4
639,Vendor_639,Ahmedabad,3.76,14
640,Vendor_640,Ahmedabad,5.0,15
641,Vendor_641,Kolkata,4.5,14
